"Identifier","Hostname","UserID","MAC Address","IPv4 Address","IPv6 Address","Device Type","Health","Tracked","Onboarding Health","Connected Health","Usage (B)","Switch","Switch IP Address","Connection Status","Device Vendor","Port","Location","Last Seen","VLAN ID","VNID","Tx (B)","Rx (B)","Tx Rate (bps)","Rx Rate (bps)","Link Speed (bps)","Duplex","Tx Link Errors","Rx Link Errors"
"ISE26","--","--","00:0C:29:A2:D1:C5","10.10.10.X","--","--","10","No","4","6","3086340","AMC-M","10.10.10.X","CONNECTED","--","GigabitEthernet1/0/36","FL/AMC/Floor-1","Aug 25, 9:54 AM -04:00","1","--","1501984.0","1584356.0","40052.23912934784","42248.802519958","1000000000","Full Duplex","0","0"
"10.10.10.X","--","--","00:F2:8B:E7:69:61","10.10.10.Y","--","--","10","No","4","6","57425","AMC-M","10.10.10.X","CONNECTED","--","GigabitEthernet1/0/30","FL/AMC/Floor-2","Aug 25, 9:54 AM -04:00","32","--","2893.0","54532.0","77.15871402143297","1454.1757637372712","1000000000","Full Duplex","0","0"
"10.10.10.X","--","--","10:F9:20:D7:69:62","10.10.10.Z","fe80::12f9:20ff:fed7:0000","--","10","No","4","6","160121","AMC-M","10.10.10.X","CONNECTED","--","GigabitEthernet1/0/29","FL/AMC/Floor-2","Aug 25, 9:55 AM -04:00","32","--","82480.0","77641.0","2199.4433426109563","2070.3921601306647","1000000000","Full Duplex","0","0"
"10.10.10.X","--","--","54:8A:BA:EE:69:63","10.10.10.A","fe80::568a:baff:feee:0000","--","10","No","4","6","161545","AMC-M","10.10.10.X","CONNECTED","--","GigabitEthernet1/0/28","FL/AMC/Floor-2","Aug 25, 9:58 AM -04:00","32","--","74485.0","87060.0","1986.2468958850686","2321.5746404226597","1000000000","Full Duplex","0","0"
"10.10.10.X","--","--","A0:93:51:53:69:64","10.10.10.B","--","--","10","No","4","6","57390","AMC-M","10.10.10.X","CONNECTED","--","GigabitEthernet1/0/31","FL/AMC/Floor-2","Aug 25, 9:55 AM -04:00","32","--","2865.0","54525.0","76.39872668788854","1453.9891001816636","1000000000","Full Duplex","0","0"
"10.10.10.X","--","--","F8:0F:6F:E1:69:65","10.10.10.C","fe80::fa0f:6fff:fee1:0000","--","10","No","4","6","57320","AMC-M","10.10.10.X","CONNECTED","--","GigabitEthernet1/0/33","FL/AMC/Floor-2","Aug 25, 9:56 AM -04:00","32","--","11733.0","45587.0","312.874785420243","1215.6330727821203","1000000000","Full Duplex","0","0"
